ACCIDENT_DATE,ACCIDENT_NO,ACCIDENT_TIME,ACCIDENT_TYPE,ALCOHOLTIME,ALCOHOL_RELATED,BICYCLIST,DAY_OF_WEEK,DCA_CODE,DEG_URBAN_ALL,DEG_URBAN_NAME,DRIVER,FATALITY,FEMALES,HEAVYVEHICLE,HIT_RUN_FLAG,INJ_OR_FATAL,LATITUDE,LGA_NAME,LGA_NAME_ALL,LIGHT_CONDITION,LONGITUDE,MALES,MOTORCYCLE,MOTORIST,NODE_TYPE,NONINJURED,NO_OF_VEHICLES,Number of Records,OBJECTID,OLD_DRIVER,OLD_PEDESTRIAN,OTHERINJURY,PASSENGERVEHICLE,PASSENGER,PEDESTRIAN,PED_CYCLIST_13_18,PED_CYCLIST_5_12,PILLION,POLICE_ATTEND,PUBLICVEHICLE,REGION_NAME,REGION_NAME_ALL,RMA,RMA_ALL,ROAD_GEOMETRY,RUN_OFFROAD,SERIOUSINJURY,SEVERITY,SPEED_ZONE,SRNS,SRNS_ALL,STAT_DIV_NAME,TOTAL_PERSONS,UNKNOWN,UNLICENCSED,YOUNG_DRIVER
30/4/18,T20180008117,08.30.00,Collision with vehicle,Yes,No,0,Sunday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,3,0,3,0,No,1,-38.0559,CARDINIA,CARDINIA,Day,145.38648,2,0,0,Intersection,4,3,1,3468436,0,0,1,3,2,0,0,0,0,Yes,0,METROPOLITAN SOUTH EAST REGION,METROPOLITAN SOUTH EAST REGION,Arterial Other,"Arterial Other,Local Road",T intersection,No,0,Other injury accident,80 km/hr,C,C,Metro,5,0,0,0
15/4/18,T20180008122,16.30.00,Collision with vehicle,Yes,No,0,Sunday,HEAD ON (NOT OVERTAKING),MELB_URBAN,MELB_URBAN,2,0,1,0,No,1,-37.67951,HUME,HUME,Day,144.96915,1,0,0,Intersection,1,2,1,3468438,0,0,1,2,0,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Local Road,Local Road,T intersection,No,0,Other injury accident,50 km/hr,,,Metro,2,0,0,0
30/4/18,T20180008131,15.27.00,Struck Pedestrian,No,No,0,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,MELB_URBAN,MELB_URBAN,0,0,1,0,No,1,-37.72685,MOONEE VALLEY,MOONEE VALLEY,Day,144.91481,1,1,1,Non-Intersection,1,1,1,3468442,0,0,1,0,0,1,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Local Road,Local Road,Not at intersection,No,0,Other injury accident,50 km/hr,,,Metro,2,0,0,0
30/4/18,T20180008134,15.00.00,Collision with a fixed object,No,No,0,Monday,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,1,0,0,0,No,1,-36.7611,BENDIGO,BENDIGO,Day,144.27359,1,0,0,Intersection,0,1,1,3468443,0,0,1,1,0,0,0,0,0,Yes,0,NORTHERN REGION,NORTHERN REGION,Arterial Highway,"Arterial Highway,Local Road",Cross intersection,Yes,0,Other injury accident,60 km/hr,A,A,Country,1,0,0,0
24/4/18,T20180008137,18.00.00,Collision with vehicle,Yes,No,0,Monday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,2,0,2,0,No,1,-37.70241,NILLUMBIK,NILLUMBIK,Dark Street lights unknown,145.15194,0,0,0,Non-Intersection,1,2,1,3468444,0,0,1,2,0,0,0,0,0,No,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Arterial Other,Arterial Other,Not at intersection,No,0,Other injury accident,60 km/hr,,,Metro,2,0,0,1
30/4/18,T20180008140,15.00.00,Collision with vehicle,No,No,1,Monday,CROSS TRAFFIC(INTERSECTIONS ONLY),SMALL_CITIES,SMALL_CITIES,1,0,0,0,No,1,-34.19516,MILDURA,MILDURA,Day,142.16054,2,0,0,Intersection,1,2,1,3468445,0,0,1,1,0,0,0,0,0,Yes,0,WESTERN REGION,WESTERN REGION,Local Road,Local Road,Cross intersection,No,0,Other injury accident,60 km/hr,,,Country,2,0,0,0
30/4/18,T20180008141,15.30.00,Collision with vehicle,No,No,0,Monday,RIGHT THROUGH,MELB_URBAN,MELB_URBAN,2,0,2,0,No,1,-38.00726,KINGSTON,KINGSTON,Day,145.10368,0,0,0,Intersection,1,2,1,3468446,1,0,1,2,0,0,0,0,0,No,0,METROPOLITAN SOUTH EAST REGION,METROPOLITAN SOUTH EAST REGION,,,Cross intersection,No,0,Other injury accident,60 km/hr,,,Metro,2,0,0,1
30/4/18,T20180008142,16.55.00,Collision with vehicle,No,No,0,Monday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,2,0,1,0,No,2,-37.81755,MELBOURNE,"YARRA,MELBOURNE",Day,144.99001,1,0,0,Intersection,0,2,1,3468447,0,0,2,2,0,0,0,0,0,No,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Arterial Highway,"Arterial Highway,Arterial Other",Cross intersection,No,0,Other injury accident,60 km/hr,,,Metro,2,0,0,1
6/5/18,T20180008571,11.10.00,Collision with vehicle,No,No,0,Sunday,REAR END(VEHICLES IN SAME LANE),LARGE_PROVINCIAL_CITIES,LARGE_PROVINCIAL_CITIES,2,0,2,0,Yes,1,-37.56715,BALLARAT,BALLARAT,Day,143.85827,2,0,0,Intersection,3,2,1,3468448,0,0,1,2,2,0,0,0,0,Yes,0,WESTERN REGION,WESTERN REGION,Arterial Other,"Arterial Other,Local Road",Cross intersection,No,0,Other injury accident,60 km/hr,C,C,Country,4,0,0,0
6/5/18,T20180008576,14.30.00,Collision with vehicle,No,No,0,Sunday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,3,0,2,0,No,1,-37.89335,MONASH,MONASH,Day,145.09025,3,0,0,Non-Intersection,4,3,1,3468450,0,0,1,3,2,0,0,0,0,Yes,0,METROPOLITAN SOUTH EAST REGION,METROPOLITAN SOUTH EAST REGION,Arterial Highway,Arterial Highway,Not at intersection,No,0,Other injury accident,80 km/hr,,,Metro,5,0,0,0
5/5/18,T20180008577,23.55.00,Collision with a fixed object,Yes,No,0,Saturday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,RURAL_VICTORIA,RURAL_VICTORIA,1,0,1,0,No,2,-37.60714,WHITTLESEA,WHITTLESEA,Dark No street lights,145.07018,1,0,0,Non-Intersection,0,1,1,3468451,0,0,2,1,1,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Local Road,Local Road,Not at intersection,Yes,0,Other injury accident,50 km/hr,,,Metro,2,0,0,0
6/5/18,T20180008579,12.00.00,Struck Pedestrian,No,No,0,Sunday,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,MELB_URBAN,MELB_URBAN,1,1,0,0,No,1,-37.72071,BRIMBANK,BRIMBANK,Day,144.83737,2,0,0,Non-Intersection,1,1,1,3468452,0,0,0,1,0,1,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Arterial Other,Arterial Other,Not at intersection,No,0,Fatal accident,60 km/hr,,,Metro,2,0,0,0
6/5/18,T20180008581,12.58.00,No collision and no object struck,No,No,0,,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),SMALL_CITIES,SMALL_CITIES,0,0,1,0,Yes,2,-38.22348,LATROBE,LATROBE,Day,146.42816,1,1,1,Non-Intersection,0,1,1,3468453,0,0,1,0,0,1,0,0,0,Yes,0,EASTERN REGION,"EASTERN REGION,EASTERN REGION",Local Road,Local Road,Not at intersection,No,1,Serious injury accident,50 km/hr,,,Country,2,0,0,0
7/5/18,T20180008595,01.15.00,Collision with a fixed object,Yes,No,0,Monday,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,RURAL_VICTORIA,RURAL_VICTORIA,1,0,0,0,No,1,-37.63437,HUME,HUME,Dark No street lights,144.75825,1,0,0,Non-Intersection,0,1,1,3468457,0,0,0,1,0,0,0,0,0,Yes,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Local Road,Local Road,Not at intersection,Yes,1,Serious injury accident,80 km/hr,,,Metro,1,0,1,1
5/5/18,T20180008597,12.40.00,Collision with vehicle,No,No,1,Friday,REAR END(VEHICLES IN SAME LANE),MELB_URBAN,MELB_URBAN,0,0,0,0,Yes,1,-37.76307,MORELAND,MORELAND,Day,144.95236,1,0,0,Non-Intersection,1,2,1,3468458,0,0,1,0,0,0,1,0,0,No,0,METROPOLITAN NORTH WEST REGION,METROPOLITAN NORTH WEST REGION,Local Road,Local Road,Not at intersection,No,0,Other injury accident,40 km/hr,,,Metro,2,1,0,0
6/5/18,T20180008603,14.50.00,Collision with vehicle,No,No,0,Sunday,REAR END(VEHICLES IN SAME LANE),RURAL_VICTORIA,RURAL_VICTORIA,3,0,2,0,No,1,-37.70082,YARRA RANGES,YARRA RANGES,Day,145.38286,3,1,1,Non-Intersection,4,4,1,3468460,0,0,1,3,1,0,0,0,0,Yes,0,METROPOLITAN SOUTH EAST REGION,METROPOLITAN SOUTH EAST REGION,Arterial Highway,Arterial Highway,Not at intersection,No,0,Other injury accident,100 km/hr,B,B,Metro,5,0,0,0
17/4/18,T20180007274,18.52.00,Collision with vehicle,Yes,No,0,Tuesday,REAR END(VEHICLES IN SAME LANE),RURAL_VICTORIA,RURAL_VICTORIA,3,0,0,1,No,1,-37.24276,MACEDON RANGES,MACEDON RANGES,Dark No street lights,144.46586,3,0,0,Non-Intersection,2,3,1,3468461,0,0,0,0,0,0,0,0,0,Yes,0,NORTHERN REGION,NORTHERN REGION,Freeway,Freeway,Not at intersection,No,1,Serious injury accident,60 km/hr,M,M,Country,3,0,0,0
